,Mkt-RF,SMB,HML,RF,
12/05/2005,-0.003,-0.0022,0.0008,0.00015,
12/06/2005,0.0012,0.0006,0.0006,0.00015,
12/07/2005,-0.0049,-0.0007,0.0006,0.00015,
12/08/2005,-0.0003,0.0025,0.0007,0.00015,
12/09/2005,0.0027,0.0022,0.0005,0.00015,
12/12/2005,0.001,0.0012,-0.0005,0.00015,
12/13/2005,0.0044,-0.0053,-0.0021,0.00015,
12/14/2005,0.0034,-0.0025,0.0008,0.00015,
12/15/2005,-0.0023,-0.0057,-0.0037,0.00015,
12/16/2005,-0.0029,0.0003,-0.0004,0.00015,
12/19/2005,-0.0073,-0.0081,0.0028,0.00015,
12/20/2005,-0.0002,-0.0002,0.0001,0.00015,
12/21/2005,0.0033,0.0066,-0.0035,0.00015,
12/22/2005,0.0045,0.0012,-0.0002,0.00015,
12/23/2005,0.0008,0.0029,0,0.00015,
12/27/2005,-0.01,-0.0044,0.0016,0.00015,
12/28/2005,0.0019,0.004,0.0012,0.00015,
12/29/2005,-0.0027,-0.0002,0.0021,0.00015,
12/30/2005,-0.005,-0.0022,0.0026,0.00015,
01/03/2006,0.015,-0.0019,0.0013,0.00017,
01/04/2006,0.0046,0.0034,0.0003,0.00017,
01/05/2006,0.0003,0.0028,-0.0014,0.00017,
01/06/2006,0.0092,0.0009,-0.0023,0.00017,
01/09/2006,0.0045,0.0052,-0.0009,0.00017,
01/10/2006,0.0005,0.0058,0.0002,0.00017,
01/11/2006,0.0028,-0.0025,-0.0011,0.00017,
01/12/2006,-0.0065,0.0009,-0.0003,0.00017,
01/13/2006,0.0017,0.0013,0.0006,0.00017,
01/17/2006,-0.004,-0.0032,0.0022,0.00017,
01/18/2006,-0.0035,0.0036,0.003,0.00017,
01/19/2006,0.0063,0.0093,-0.0008,0.00017,
01/20/2006,-0.018,0.0037,0.0051,0.00017,
01/23/2006,0.0018,0.002,0.0043,0.00017,
01/24/2006,0.0044,0.0103,0.0016,0.00017,
01/25/2006,-0.0022,-0.0004,-0.0011,0.00017,
01/26/2006,0.0079,0.0081,0.0004,0.00017,
01/27/2006,0.0067,-0.0015,-0.0017,0.00017,
01/30/2006,0.001,-0.0026,0.0021,0.00017,
01/31/2006,-0.0021,0.0061,-0.0003,0.00017,
02/01/2006,0.0014,0.0018,0.0005,0.00018,
02/02/2006,-0.0088,-0.0028,-0.0006,0.00018,
02/03/2006,-0.0051,0.0023,0.0001,0.00018,
02/06/2006,0.001,0.0026,0.005,0.00018,
02/07/2006,-0.0092,-0.0048,-0.0022,0.00018,
02/08/2006,0.0077,-0.0025,-0.0009,0.00018,
02/09/2006,-0.0019,-0.0016,-0.0027,0.00018,
02/10/2006,0.0015,-0.0036,-0.0005,0.00018,
02/13/2006,-0.0047,-0.005,0.0014,0.00018,
02/14/2006,0.0101,0.0026,-0.0011,0.00018,
02/15/2006,0.0041,0.0041,-0.0047,0.00018,
02/16/2006,0.0075,0.0005,0.0022,0.00018,
02/17/2006,-0.0016,-0.0005,0.0036,0.00018,
02/21/2006,-0.0038,-0.002,0.0014,0.00018,
02/22/2006,0.0073,0.0001,-0.0004,0.00018,
02/23/2006,-0.0029,0.0022,-0.0022,0.00018,
02/24/2006,0.0019,0.0035,0.0017,0.00018,
02/27/2006,0.004,0.0016,-0.0036,0.00018,
02/28/2006,-0.011,-0.0021,0.0007,0.00018,
03/01/2006,0.009,0.0068,-0.0004,0.00016,
03/02/2006,-0.0016,-0.0008,0.0005,0.00016,
03/03/2006,-0.0015,-0.0001,0.0007,0.00016,
03/06/2006,-0.0075,-0.0021,-0.0014,0.00016,
03/07/2006,-0.004,-0.0107,0.0005,0.00016,
03/08/2006,0.0014,-0.0005,0.0006,0.00016,
03/09/2006,-0.0051,-0.0001,0.0029,0.00016,
03/10/2006,0.0069,0.0039,0.0003,0.00016,
03/13/2006,0.0024,-0.0003,0.001,0.00016,
03/14/2006,0.01,0.0004,-0.0003,0.00016,
03/15/2006,0.0048,0.004,0.0015,0.00016,
03/16/2006,0.0011,-0.0013,0.0031,0.00016,
03/17/2006,0.0018,0.0011,-0.0032,0.00016,
03/20/2006,-0.0007,0.0017,-0.0032,0.00016,
03/21/2006,-0.0069,-0.0052,-0.001,0.00016,
03/22/2006,0.0062,0.0049,0.0012,0.00016,
03/23/2006,-0.0018,0.0054,-0.0001,0.00016,
03/24/2006,0.0022,0.0066,0.002,0.00016,
03/27/2006,-0.0007,0.0015,0.0025,0.00016,
03/28/2006,-0.0061,0.0024,-0.0008,0.00016,
03/29/2006,0.0087,0.0086,0.0014,0.00016,
03/30/2006,-0.0016,0.0016,-0.0016,0.00016,
03/31/2006,-0.0023,0.007,-0.0004,0.00016,
04/03/2006,0.0007,-0.0088,0.0069,0.00019,
04/04/2006,0.0054,-0.0026,0.0013,0.00019,
04/05/2006,0.0042,-0.0003,0.0025,0.00019,
04/06/2006,-0.0015,0.0018,0.0001,0.00019,
04/07/2006,-0.0102,-0.0012,-0.0017,0.00019,
04/10/2006,-0.0002,-0.004,0.0005,0.00019,
04/11/2006,-0.0083,-0.0067,0.0002,0.00019,
04/12/2006,0.0019,0.0057,-0.0003,0.00019,
04/13/2006,0.0012,0.0038,-0.0014,0.00019,
04/17/2006,-0.0028,0,0.003,0.00019,
04/18/2006,0.0171,0.0067,0.0007,0.00019,
04/19/2006,0.0033,0.0087,0.0007,0.00019,
04/20/2006,0.0001,-0.0049,0.0004,0.00019,
04/21/2006,-0.001,-0.0019,0.003,0.00019,
04/24/2006,-0.003,-0.0041,0.0012,0.00019,
04/25/2006,-0.0044,0.0044,0.0001,0.00019,
04/26/2006,0.002,-0.0009,0.0028,0.00019,
04/27/2006,0.0024,-0.0095,0,0.00019,
04/28/2006,0.0005,0.0013,0.0052,0.00019,
05/01/2006,-0.0041,0.0001,0.0047,0.0002,
05/02/2006,0.0054,0.002,0.0057,0.0002,
05/03/2006,-0.0031,0.004,0.0007,0.0002,
05/04/2006,0.0037,0.0059,-0.0024,0.0002,
05/05/2006,0.0104,-0.003,-0.0002,0.0002,
05/08/2006,-0.0005,0.0008,0.0009,0.0002,
05/09/2006,-0.0001,-0.0014,0.002,0.0002,
05/10/2006,-0.002,-0.0059,0.0054,0.0002,
05/11/2006,-0.0135,-0.0109,0.0023,0.0002,
05/12/2006,-0.0126,-0.0072,-0.0008,0.0002,
05/15/2006,0.0004,-0.0091,-0.0029,0.0002,
05/16/2006,-0.0012,0.001,0.0035,0.0002,
05/17/2006,-0.0166,0.0012,0.0016,0.0002,
05/18/2006,-0.0069,-0.0034,0.0013,0.0002,
05/19/2006,0.0038,0.0011,0,0.0002,
05/22/2006,-0.0055,-0.0076,0.0024,0.0002,
05/23/2006,-0.0044,0.0007,-0.0001,0.0002,
05/24/2006,0.0003,-0.0008,-0.0014,0.0002,
05/25/2006,0.0122,0.007,0.0001,0.0002,
05/26/2006,0.006,-0.0016,-0.0008,0.0002,
05/30/2006,-0.0165,-0.0078,0.0013,0.0002,
05/31/2006,0.0094,0.0036,0.0038,0.0002,
06/01/2006,0.0129,0.0082,-0.0017,0.00018,
06/02/2006,0.0016,-0.0007,0.0021,0.00018,
06/05/2006,-0.0194,-0.0117,0.002,0.00018,
06/06/2006,-0.0028,-0.0017,-0.001,0.00018,
06/07/2006,-0.0057,0.0004,-0.0018,0.00018,
06/08/2006,0.0001,-0.0026,0.0004,0.00018,
06/09/2006,-0.0044,-0.0024,-0.0005,0.00018,
06/12/2006,-0.0148,-0.0127,0.0027,0.00018,
06/13/2006,-0.0115,-0.0034,-0.0041,0.00018,
06/14/2006,0.0046,0.0018,-0.0022,0.00018,
06/15/2006,0.0233,0.0105,0.0027,0.00018,
06/16/2006,-0.0043,-0.0072,0.0001,0.00018,
06/19/2006,-0.0101,-0.0078,0.0015,0.00018,
06/20/2006,-0.0007,-0.0038,0.0007,0.00018,
06/21/2006,0.0111,0.0075,-0.0017,0.00018,
06/22/2006,-0.0052,0.0015,0.0016,0.00018,
06/23/2006,0.0003,0.0024,0.0022,0.00018,
06/26/2006,0.005,0.0053,0.002,0.00018,
06/27/2006,-0.01,-0.0073,0.0029,0.00018,
06/28/2006,0.0047,-0.0037,0.0015,0.00018,
06/29/2006,0.0229,0.0142,-0.0025,0.00018,
06/30/2006,-0.0002,0.0115,0.0013,0.00018,
07/03/2006,0.0072,-0.0007,-0.0024,0.0002,
07/05/2006,-0.0088,-0.0055,0.0038,0.0002,
07/06/2006,0.0023,-0.0007,0.0002,0.0002,
07/07/2006,-0.008,-0.0085,0.0072,0.0002,
07/10/2006,0.0004,-0.0027,0.0051,0.0002,
07/11/2006,0.0037,0.0032,-0.0016,0.0002,
07/12/2006,-0.0121,-0.0066,0.0035,0.0002,
07/13/2006,-0.0143,-0.0055,0.0007,0.0002,
07/14/2006,-0.006,-0.0035,0.0015,0.0002,
07/17/2006,-0.0022,-0.0045,0.0008,0.0002,
07/18/2006,0.0017,0.0016,0.003,0.0002,
07/19/2006,0.0198,0.009,-0.0028,0.0002,
07/20/2006,-0.0111,-0.016,0.006,0.0002,
07/21/2006,-0.0089,-0.0086,0.0033,0.0002,
07/24/2006,0.0175,0.0086,-0.0049,0.0002,
07/25/2006,0.0069,0.002,0,0.0002,
07/26/2006,-0.0013,-0.0035,0.0047,0.0002,
07/27/2006,-0.0058,-0.0073,0.0036,0.0002,
07/28/2006,0.0131,0.0067,-0.0015,0.0002,
07/31/2006,-0.0009,0.0026,-0.0009,0.0002,
08/01/2006,-0.006,-0.0092,0.0034,0.00018,
08/02/2006,0.0064,0.0028,-0.0025,0.00018,
08/03/2006,0.0027,0.0085,-0.0046,0.00018,
08/04/2006,-0.0013,-0.0045,0.0016,0.00018,
08/07/2006,-0.0035,-0.0027,0.001,0.00018,
08/08/2006,-0.0042,-0.008,0.001,0.00018,
08/09/2006,-0.0052,-0.0043,-0.0001,0.00018,
08/10/2006,0.0049,0.0036,-0.0038,0.00018,
08/11/2006,-0.0049,-0.0058,0.0019,0.00018,
08/14/2006,0.0012,0.0025,-0.0031,0.00018,
08/15/2006,0.0146,0.0075,-0.0042,0.00018,
08/16/2006,0.009,0.0063,-0.0052,0.00018,
08/17/2006,0.0018,0.0036,-0.0018,0.00018,
08/18/2006,0.003,-0.0017,-0.0012,0.00018,
08/21/2006,-0.0048,-0.0049,0.0015,0.00018,
08/22/2006,0.0007,0.0028,0.0006,0.00018,
08/23/2006,-0.0055,-0.0075,0.0015,0.00018,
08/24/2006,0.0016,-0.0021,0.0008,0.00018,
08/25/2006,-0.0007,0.0018,-0.0009,0.00018,
08/28/2006,0.0058,0.004,-0.0012,0.00018,
08/29/2006,0.0033,0.0092,-0.0012,0.00018,
08/30/2006,0.0013,0.0075,-0.0028,0.00018,
08/31/2006,0.0003,0.0001,0.0023,0.00018,
09/01/2006,0.0049,-0.0027,-0.0004,0.0002,
09/05/2006,0.0021,0.0052,0.0001,0.0002,
09/06/2006,-0.0113,-0.0101,0.0046,0.0002,
09/07/2006,-0.005,-0.0017,0.0021,0.0002,
09/08/2006,0.0032,-0.0008,-0.0012,0.0002,
09/11/2006,-0.0003,-0.0016,-0.0008,0.0002,
09/12/2006,0.0118,0.0115,-0.0032,0.0002,
09/13/2006,0.0045,0.0043,-0.0008,0.0002,
09/14/2006,-0.0016,-0.0025,0.0008,0.0002,
09/15/2006,0.0021,0.0001,-0.0029,0.0002,
09/18/2006,0.0004,0,-0.003,0.0002,
09/19/2006,-0.0029,-0.0023,0.0019,0.0002,
09/20/2006,0.006,0.0053,0.0001,0.0002,
09/21/2006,-0.0059,-0.0039,0.0007,0.0002,
09/22/2006,-0.0041,-0.0089,0.0051,0.0002,
09/25/2006,0.0086,0.0017,0.0009,0.0002,
09/26/2006,0.0071,-0.0035,-0.0018,0.0002,
09/27/2006,0.0008,0.0042,-0.0027,0.0002,
09/28/2006,0.0015,-0.001,-0.0019,0.0002,
09/29/2006,-0.0033,-0.0064,0.0025,0.0002,
10/02/2006,-0.0043,-0.0055,0.0019,0.00018,
10/03/2006,0.0013,-0.0037,0.0046,0.00018,
10/04/2006,0.0128,0.0073,-0.0052,0.00018,
10/05/2006,0.0043,0.0093,-0.0037,0.00018,
10/06/2006,-0.0031,-0.0004,-0.0009,0.00018,
10/09/2006,0.002,0.0042,0.0011,0.00018,
10/10/2006,0.0021,-0.0004,0,0.00018,
10/11/2006,-0.003,-0.0033,0.0023,0.00018,
10/12/2006,0.0107,0.0093,-0.0019,0.00018,
10/13/2006,0.0022,0.0049,-0.0006,0.00018,
10/16/2006,0.0034,0.0062,-0.0032,0.00018,
10/17/2006,-0.0044,-0.0022,0.0041,0.00018,
10/18/2006,0.0008,-0.0032,0.0003,0.00018,
10/19/2006,0.001,0.0045,-0.0009,0.00018,
10/20/2006,-0.0002,-0.0073,0.0004,0.00018,
10/23/2006,0.0056,-0.0042,-0.0019,0.00018,
10/24/2006,0.0001,-0.0022,0.0022,0.00018,
10/25/2006,0.0032,0.0018,-0.0009,0.00018,
10/26/2006,0.0063,0.0041,0.002,0.00018,
10/27/2006,-0.0088,-0.0035,0.0012,0.00018,
10/30/2006,0.0007,0.0043,-0.0001,0.00018,
10/31/2006,-0.0007,-0.0034,-0.0011,0.00018,
11/01/2006,-0.0087,-0.0099,0.0027,0.0002,
11/02/2006,-0.0005,-0.0023,0.0005,0.0002,
11/03/2006,-0.0012,0.0052,-0.0014,0.0002,
11/06/2006,0.0116,0.0026,-0.0011,0.0002,
11/07/2006,0.0023,0.0006,-0.003,0.0002,
11/08/2006,0.0029,0.0031,0.0033,0.0002,
11/09/2006,-0.0058,-0.0039,0.0033,0.0002,
11/10/2006,0.0026,0.007,-0.0003,0.0002,
11/13/2006,0.0027,0.0018,0.0002,0.0002,
11/14/2006,0.0071,0.0092,-0.0023,0.0002,
11/15/2006,0.0035,0.0058,-0.0041,0.0002,
11/16/2006,0.0016,-0.0031,0.0011,0.0002,
11/17/2006,0.0003,-0.0037,-0.0012,0.0002,
11/20/2006,-0.0006,0.0021,0.0005,0.0002,
11/21/2006,0.0014,0.0004,-0.0008,0.0002,
11/22/2006,0.0028,-0.0008,-0.0025,0.0002,
11/24/2006,-0.0032,0.0024,0.0009,0.0002,
11/27/2006,-0.0153,-0.0102,0.0032,0.0002,
11/28/2006,0.003,0.0001,-0.0004,0.0002,
